question,a,b,c,d,answer
What liquid did the Mayflower carry the most of?,Water,Wine,Beer,Honey,c
How many players are there on a baseball team?,Ten,Nine,Seven,Twelve,b
What is the name of Batman's son?,Robin,Dick,Damien,Jason,c
What must the alcoholic beverage Melomel contain?,Fruit,Fresh Hops,Barley,Chocolate,a
"What makes whiskey a ""straight"" whiskey?",Made in Kentucky,Over 50% Rye,Aged for 2 Years,Rate a 0 on the Kinsey Scale,c
When did the Cleveland Indians last win the World Series?,2016,1926,1952,1948,d
Who is the city of Cleveland named after?,General Robert Cleveland,General Moses Cleaveland,President Grover Cleveland,Writer Francis Cleaveland,b
What name is Norma Jean Baker more commonly known as?,Madonna,Marilyn Monroe,Cher,Jennifer Lawrence,b
Which of the following is not a member of the Marx Brothers?,Groucho,Chipo,Zeppo,Harpo,b
"If you ordered ""du Barry,"" at a restaurant what food would you be served?",Cauliflower Soup,A French Cheese,Grilled Duck ,Smoked Sausage ,a
Which of the following online music services launched first?,Spotify,Apple Music,Tidal,Google Play Music,a
How many grams are in an ounce?,4,8,16,28,d
What is the offspring of a male donkey and a female horse?,Tarpan,Mule,Pony,Hinny,b
What Chinese game consists of 144 rectangular pieces called tiles?,Mahjong,Go,Chinese Checkers,Xiangqi,a
"In ""Alice in Wonderland,"" what character is always worried about being late?",The Mad Hatter,White Rabbit,Cheshire Cat,Caterpillar,b
"Who is the famous mother of CNN anchor, Anderson Cooper?",Jayne Mansfield,Marilyn Monroe,Gloria Vanderbilt,Sophia Loren,c
What is the opposite of nocturnal?,Diurnal,Zoonal,Unisonal,Umbonal,a
Which of the following is NOT a consumer credit reporting agency?,TransUnion,Experian,Fannie Mae,Equifax,c
What is the symbol for iron in chemistry?,Fe,I,Fn,Ir,a
Which insurance company features an umbrella in its logo?,Nationwide,State Farm,Travelers,Aflac,c
"What board game involves a game piece called a ""Bread Basket""?",Clue,Stratego,Mouse Trap,Operation,d
Which of the following is NOT a character from McDonald's McDonaldland?,Captain Crook,Billy Burger,Grimace,Birdie,b
"Paul McCartney's daughter Stella, is famous in what industry?",Fashion,Music,Movies,Literature,a
"What word describes a small settlement, generally one smaller than a village?",Estuary,Hamlet,Shire,Canton,b
What type of road is raised to allow access across low or swampy ground?,Parkway,Turnpike,Causeway,Beltway,c
"On the show Beavis and Butt-Head, Beavis often transforms into what character?",Stefan,Duffman,Mint-Berry Crunch,Cornholio,d
Who invented the World Wide Web?,Tim Berners-Lee,Larry Page,John Fanning,Steve Wozniak,a
How many bones exist within the human body?,174,206,410,640,b
Which alcoholic beverage is anise-flavored?,Sambuca,Pimm's,Hpnotiq,Midori,a
Where is the legendary town of Sleepy Hollow located?,New York,Massachusetts,Rhode Island,New Hampshire,a
What is the closest galaxy to our own?,Milky Way,Betelgeuse,Andromeda,NGC 1300,c
